FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa
109,109.923977,31.542781,132.1840057,1978,1892.140015,0.0592827,0.391251,-0.0021985,-0.0012332,35.7448997,169.7059937,1.02045,371.8139954,-7.4324298,4.10288,0.0048241,2,100,197,9016.879883,16714.80078
110,109.924293,31.542784,131.3090057,1962,1905.180054,0.0588345,0.406703,-0.0014338,-0.0006158,36.2113991,169.7059937,2.5868101,-1800.339966,-7.05405,11.9183998,0.003502,2,100,197,9039.55957,16709.69922
111,109.924609,31.542786,129.4720001,1945,1918.589966,0.0583816,0.426214,-0.0023344,-0.0008484,36.2820015,212.1320038,1.09987,-1161.689941,-7.94595,12.1007004,0.0038532,2,100,197,9062.280273,16704.59961
112,109.918292,31.542462,15.5241003,2148,1701.560059,0.0662745,0.302184,0.0105422,0.0005279,17.2943993,0,0.447272,-1911.979981,9.2432404,10.309,0.0082818,2,100,153,8636.929688,-9999
113,109.918608,31.542465,39.2893982,2144,1706.579956,0.0662745,0.347038,0.0221993,-0.0017738,13.3264999,0,0.386326,28.5191994,9.1891899,3.4518199,0.0113845,2,100,153,8658.730469,16838.59961
114,109.918924,31.542468,68.1986008,2139,1712.099976,0.0662745,0.373184,0.0288148,-0.0017536,10.1765003,0,0.258942,28.0461006,9.7297297,3.46855,0.0114445,2,100,153,8680.580078,16832.69922
115,109.91924,31.54247,94.7636032,2134,1718.140015,0.0662745,0.376352,0.0158455,0.0017153,11.3480997,0,0.478986,-81.5403976,11.0811005,10.309,0.0156962,2,100,153,8702.480469,16826.80078
116,109.919556,31.542473,130.2359924,2127,1724.670044,0.0659745,0.357714,-0.0050285,0.0052274,15.8451996,0,0.46736,4.1421399,10.5404997,5.3811798,0.0193468,2,100,153,8724.429688,16820.90039
117,109.919872,31.542476,140.9060059,2121,1731.699951,0.0655919,0.356698,0.0042382,0.0039374,18.9622993,0,0.254547,3.39729,10.9459,5.5794201,0.0144734,2,100,153,8746.429688,16815.09961
118,109.920188,31.542478,133.1519928,2114,1739.219971,0.065204,0.38565,0.008601,0.0015378,20.0788002,42.4263992,0.057283,168.7839966,10.7026997,3.06007,0.0077996,2,100,153,8768.469727,16809.30078
119,109.920504,31.542481,126.3840027,2105,1747.229981,0.0648107,0.384138,0.0001116,0.0022033,21.4720993,42.4263992,0.479888,-34.2803993,9.0810804,11.0021,0.0047074,2,100,153,8790.55957,16803.59961
